machine_id,ts,type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,vibration_mms,current_a,humidity_pct,machine_failure,collected_at
CNC-01,2024-03-01 07:00:00,L,301.78252590092035,309.9354426528821,1919.6654621682949,37.1443009177133,33.118274347327265,2.5443257826478165,13.22643583091554,48.15172536144752,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:00:00,M,301.54352319279593,309.7449643801615,1810.8833114982945,40.07671466091925,26.623060745942645,2.326711394759224,13.43351862282396,52.526244359731216,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:00:00,H,301.7150965997842,308.941281548651,1935.2882368409375,31.43305402979888,,2.4966657101059635,11.433071583385525,46.962248524496665,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:01:00,L,301.9071311347686,309.87788826769764,1966.1073983119768,36.48982459449321,34.50101002113023,2.4893974220561645,13.35760317769088,45.39367356131639,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:01:00,M,301.68909542429907,309.26098222315943,1896.8264581140984,34.58506687395499,28.01749153323193,2.5179632497466553,12.128599119931812,49.615986902440696,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:01:00,H,301.39100189757824,309.55325652539415,1969.136285349837,37.12361510378924,4.724420614581659,2.6354531662846563,13.674621614127233,49.04098537788894,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:02:00,L,301.1967586709091,309.66349823766603,1851.009033378735,42.045030250990095,35.89719312763968,2.487123405117723,14.71227390727509,43.291919223007554,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:02:00,M,301.8169667683738,309.72741488007404,1773.2008254260593,39.68310947690729,29.44992583040065,2.3968133071960644,13.075643418254808,47.359731266541125,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:02:00,H,302.0119860817233,309.46940256499755,1769.4860639897,36.75913680375714,6.134574632754265,2.4210830926401137,12.147317181233834,42.57587351920501,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:03:00,L,301.6328298667515,309.50347128316,1881.5958811167172,37.830302387448235,37.277543702548634,2.5482856418096542,13.279364103461868,43.58752002639687,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:03:00,M,301.67638297340534,309.02792311143065,1886.0495847188345,34.31296452542605,30.80628496778089,2.6614707828219233,12.002232552080306,50.40713819632643,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:03:00,H,301.52460003657706,308.59928046064266,1967.9168056974,31.881664069566863,7.472727698224299,2.597731049311967,11.533626755636208,48.335479678010074,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:04:00,L,301.53506614157027,308.99942014486413,1843.116065781964,35.74360544128621,38.670660601091434,2.4171351475434375,12.180038404942684,44.51348031106543,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:04:00,M,301.6220255217642,309.06871103703935,1744.3873838272968,,32.22212424413099,2.3442736605736982,12.46573155364732,48.26888602126331,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:04:00,H,301.75792451921296,309.44275590437724,1816.53053200302,38.5434939166923,8.916281294844698,2.4140220300966813,13.100313201313233,47.03466046398113,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:04:05,M,301.7620808035143,310.25839617859236,1842.6037756220976,41.7996075388368,33.64960147616265,2.41482423114348,14.50495755988142,49.19538908338925,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:05:00,L,301.6559662364823,308.9701074517048,1969.2487482210124,31.817877196043543,40.03697434451948,2.629808522547344,11.540649549079168,50.99952362394813,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:05:00,H,301.3850676861944,309.0101324016197,1960.7269876584935,34.00391084779457,10.280259376895716,2.617625458304947,12.584664534790116,48.21077627480735,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:06:00,L,301.5486004742834,309.1025102725552,1706.2873988053043,38.06712910032034,41.47155647506679,23.212192655002536,11.97051273130274,48.9165118398681,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:06:00,M,301.68985863884825,309.1345932646992,1800.367383624468,36.040549534633,35.05732074427888,2.402398167460319,12.156047307838069,47.92717322721637,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:06:00,H,301.69707861016826,309.6472083235275,1754.0982948031774,41.45489327940914,11.71893106381484,2.3473673000307564,13.720736853118217,51.28221378999221,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:07:00,L,301.4485325728893,308.9982720829851,1818.472877848979,38.04149002908889,42.8983770441658,2.368280233457317,12.91828836569129,49.527392486200625,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:07:00,M,301.6520399495113,309.7362773379492,1912.91694768288,37.58078065399034,36.43991929621053,2.5399337230137955,13.519300409002629,47.22764157104321,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:07:00,H,301.5086196072622,309.40747357007143,1734.8524588717294,39.833052697194816,13.151701931799275,,12.806937074888332,47.40290164031737,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:08:00,L,301.731123618126,309.58305975155685,1784.0324154779344,38.955600122376445,44.32125817246892,2.321819259520899,12.93050409538075,48.28135119207528,0,2026-09-03 04:44:39
CNC-02,2024-03-01 07:08:00,M,301.5570731294105,309.03084741108006,1749.8326859771728,39.09505785848043,37.89990878310165,2.393807392646322,13.14580155395125,49.355641034008,0,2026-09-03 04:44:39
CNC-03,2024-03-01 07:08:00,H,301.5374799528088,309.1746202974575,1869.0934583448395,35.867842628920606,14.53575456301573,2.4604902422417325,12.452892961538003,51.63544205796763,0,2026-09-03 04:44:39
CNC-01,2024-03-01 07:09:00,L,301.64714470643304,309.7534560245903,1881.3969316828025,37.57108793320406,45.73172543934731,2.6004026679183374,13.122167004840666,47.25055645025608,0,2026-09-03 04:44:39
